imagem_antiga,imagem_nova,MSE,SSIM
1.jpg,1.webp,2981.8941072961375,0.7745728320624388
1.jpg,2.webp,4249.2688,0.7554211649962815
1.jpg,1.jpg,0.0,1.0
1.webp,1.jpg,2981.8941072961375,0.7745728320624388
1.webp,1.webp,0.0,1.0
1.webp,2.webp,2974.694282308059,0.7828543400561128
2.webp,2.webp,0.0,1.0
2.webp,1.webp,2974.694282308059,0.7828543400561128
2.webp,1.jpg,4249.2688,0.7554211649962815
